@relation entail_30mei_label_satu-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simSubj numeric
@attribute simSubjEksak numeric
@attribute simObj numeric
@attribute simObjEksak numeric
@attribute simArgSubj numeric
@attribute simArgObj numeric
@attribute task {IE,IR,QA,SUM}
@attribute isEntail {0,1}

@data
0,0.519685,1,1,0.266667,0,0,0,1,0,IR,0
0.4,0.379487,0.285714,0,0.305263,0,0,0,0.285714,0,IR,1
0,1,0.222222,0,0,0,0,0,0.222222,0,IR,1
0,0,0.333333,0,0,0,0,0,0,0,IR,0
1,1,1,1,0.5,0.5,0,0,0.5,0,IR,1
0,1,0,0,1,1,0,0,0,0,IR,0
0,0.458904,1,1,1,1,0,0,1,0,IR,1
0,0.240924,0.571429,0,0,0,0,0,0.571429,0,IR,0
0.4,1,0.285714,0,0,0,0,0,0,0,IR,1
0,0.706667,0.4,0,0.375,0,0.307692,0,0.4,0.4,IR,0
0,0.636771,0.285714,0,0,0,0,0,0,0,IR,1
0,0.974359,0.75,0,0.333333,0,0,0,0.75,0,IR,1
0,0.612613,0.375,0,0,0,0.4,0,0.777778,0.777778,IR,0
0,0.432749,0.181818,0,0,0,0,0,0,0,IR,1
0,0.281457,1,1,0.190476,0,0,0,1,0,IR,1
0,1,0.333333,0,0.777778,0.666667,0,0,0.333333,0,IR,0
0,1,0.173913,0,0,0,0,0,0,0,QA,1
0,0.969072,0,0,0,0,0,0,0,0,QA,0
0.8,0.751131,0.2,0,0,0,0,0,0.2,0,QA,1
0.666667,0,0,0,0.428571,0,0,0,0,0,QA,1
0.4,1,1,1,0,0,0,0,0,0,QA,1
0,1,0,0,1,1,0,0,0.47619,0,QA,1
0,0.146739,1,1,0.222222,0,1,1,1,1,QA,1
0.666667,0.883212,0,0,0.428571,0.333333,0,0,1,0,QA,1
0,1,1,1,0,0,0,0,0,0,QA,0
1,0.290323,1,1,1,1,0,0,1,0,QA,1
0,0.973684,0.235294,0,0.333333,0,0,0,0.235294,0,QA,0
0.5,0.096552,1,1,0,0,0,0,0,0,QA,1
0,0.733813,0.5,0,0,0,0,0,0,0,QA,1
0,0.631579,0,0,0.428571,0,0,0,0,0,QA,0
0.5,0.580645,0.4,0,0,0,0,0,0,0,QA,1
0,0.283582,0.444444,0,0,0,0,0,0,0,QA,1
0,0.961039,0.153846,0,0.153846,0,0,0,0.153846,0,QA,1
0.4,1,0.3,0,0.4,0.333333,0,0,0.333333,0,QA,1
0,1,1,0,0,0,0,0,1,0,SUM,0
0,0.423963,0,0,0,0,0.642857,0.5,0,0,SUM,1
1,0.225806,0.5,0,0.222222,0,1,1,0.5,1,SUM,1
0.5,0.766423,0.333333,0,0,0,0,0,0,0,SUM,1
0,1,0.4,0,1,1,0.3,0,0.4,0.4,SUM,0
0.571429,0.36747,0.142857,0,0.176923,0,0,0,0,0,SUM,0
0,0,0,0,0,0,0.636364,0.5,0,0.333333,SUM,0
0.8,0.302251,0,0,0.361111,0,0.261905,0,0.5,0.5,SUM,1
0.285714,0.254808,0.285714,0,0.5,0,0.148148,0,0.285714,0.285714,SUM,1
0.5,1,0.4,0,0.571429,0.5,0.532602,0,0.5,0.25,SUM,0
0.8,0.469136,0.333333,0,0.470588,0,0,0,0.333333,0,SUM,1
0.333333,0.269231,1,1,0,0,0,0,0,0,SUM,1
0.666667,1,0.4,0,0,0,0,0,0,0,SUM,1
0.333333,0.468966,0.4,0,0,0,0,0,0,0,SUM,0
0.666667,1,1,1,0.380952,0,0.633333,0.5,0.352941,0.352941,SUM,0
0.666667,1,0.285714,0,0.365079,0.2,0.617647,0.5,0.285714,0.285714,SUM,0
0.75,0.78,1,1,1,1,1,1,1,1,SUM,0
0.333333,1,0.333333,0,0,0,0,0,0,0,SUM,1
1,1,0.4,0,0.227124,0,0,0,0.5,0,SUM,1
