@relation entail_8_juni_commonstring

@attribute longCommonString numeric
@attribute jumPairCommonUrut numeric 
@attribute skorHs numeric
@attribute skorLc numeric
@attribute skorLe numeric
@attribute skorWp numeric
@attribute skorRe numeric
@attribute skorJc numeric
@attribute skorLi numeric
@attribute skorPa numeric
@attribute isEntail {0,1}

@data
1,2,0,1.3862943611198906,0,0.4,0.7794168300527748,0.058355299770025584,0.08338132296510331,0.1,0
2,4,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
3,6,5,5,5,5,5,5,5,5,0
2,5,0,0,0,0,0,0,0,0,1
6,8,10,10,10,10,10,10,10,10,1
5,6,5,2.5902671654458267,2,0.9,4.227797188876366,0.11986780842350107,0.5033655839113409,0.3333333333333333,0
1,3,0,1.9459101490553135,0,0.4,0,0.12426013927920865,0,0.25,1
1,2,0,1.3862943611198906,0,0.4,0.7794168300527748,0.06520290712419366,0.09226284583783573,0.1,1
5,6,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,1
7,8,0,0,0,0,0,0,0,0,1
4,5,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0,0,0
5,7,0,0,0,0,0,0,0,0,1
5,6,0,0,0,0,0,0,0,0,0
2,5,5,5,5,5,5,5,5,5,0
3,7,0,0.9729550745276567,0,0.2,0,0.05172593803799408,0,0.125,1
2,4,5,5.80471895621705,5,5.266666666666667,6.568960068570637,5,5,5.0625,0
4,8,0,2.1242476210246792,0,0.45,1.1270652004051969,0.0388484504978934,0.12970585349110372,0.25,1
2,5,5,5,5,5,5,5,5,5,1
5,8,0,1.9459101490553135,1,0.4,0,0.1175426609134397,0,0.25,1
10,15,0,1.3862943611198906,0,0.4,0.6143639493869085,0,0,0.1,1
5,15,0,0,0,0,0,0,0,0,0
1,4,5,5.861383298870551,5,5.166666666666667,5,5.03998369916546,5,5.1,1
2,4,0,1.1167961107535471,0,0.25,0,0.046766287984146775,0,0.16666666666666666,1
3,7,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0,0,1
4,8,0,2.2335922215070942,0,0.5,0,0.08944985215151878,0,0.3333333333333333,0
2,5,0,0,0,0,0,0,0,0,1
1,3,0,0,0,0,0,0,0,0,0
11,17,0,0,0,0,0,0,0,0,0
2,8,3.3333333333333335,3.8468150136490498,3.3333333333333335,3.428571428571429,3.3333333333333335,3.3739248970440765,3.3333333333333335,3.388888888888889,0
5,11,0,0,0,0,0,0,0,0,0
2,6,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,1
3,6,0,0.6454920906577828,0,0.1875,0.3897084150263874,0.03836189634611004,0.05301328247863704,0.045454545454545456,1
