@relation entail_3juni_all

@attribute MongeElkan numeric
@attribute MongeElkanLemma numeric
@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simSubj numeric
@attribute simSubjEksak numeric
@attribute simObj numeric
@attribute simObjEksak numeric
@attribute simArgSubj numeric
@attribute simArgObj numeric
@attribute task {IE,IR,QA,SUM}
@attribute isEntail {0,1}

@data
0.888889,0.8,0.8,0.751131,0.2,0,0,0,0,0,0.2,0,QA,1
0.952381,0.85,0.666667,?,0,0,0.42857142857142855,0,0,0,0,0,QA,1
0.977778,0.981818,0.4,1,1,1,0,0,0,0,0,0,QA,1
1,1,1,0.533613,0.8,0,0.5,0.5,0,0,0,0,QA,0
0.8,0.9,0,1,0,0,1,1,0,0,0.47619047619047616,0,QA,1
1,1,0,0.99187,0.2222222222222222,0,0.2,0,0,0,0.2222222222222222,0,QA,1
1,0.857143,0.5,0.204947,0.4444444444444444,0,1,1,0,0,1,0,QA,0
0.9,0.914286,0.222222,1,0.5714285714285714,0,0,0,0,0,0,0,QA,0
0.9,0.914286,0.222222,1,0.5714285714285714,0,0,0,0,0,0,0,QA,0
0.88,0.733333,0,0.146739,1,1,0.2222222222222222,0,1,1,1,1,QA,1
1,1,0.666667,0.883212,0,0,0.42857142857142855,0.3333333333333333,0,0,1,0,QA,1
0.806667,0.966667,0,1,1,1,0,0,0,0,0,0,QA,0
0.966667,0.985185,0.5,0.927835,1,1,0.6764705882352942,0.5,0,0,0.3333333333333333,0,QA,0
1,1,0,1,1,1,1,1,0,0,1,0,QA,0
1,0.875,1,0.290323,1,1,1,1,0,0,1,0,QA,1
1,1,1,1,0.21052631578947367,0,0,0,0,0,0.21052631578947367,0,QA,0
?,?,0,0.973684,0.23529411764705882,0,0.3333333333333333,0,0,0,0.23529411764705882,0,QA,0
?,?,0.5,0.0965517,1,1,0,0,0,0,0,0,QA,1
?,?,0.4,0.233898,0,0,0,0,0,0,0,0,QA,0
?,?,0,0.733813,0.5,0,0,0,0,0,0,0,QA,1
?,?,0,0.631579,0,0,0.42857142857142855,0,0,0,0,0,QA,0
?,?,0.5,0.580645,0.4,0,0,0,0,0,0,0,QA,1
?,?,0,0.283582,0.4444444444444444,0,0,0,0,0,0,0,QA,1
?,?,0,0.961039,0.15384615384615385,0,0.15384615384615385,0,0,0,0.15384615384615385,0,QA,1
?,?,0.4,1,0.3,0,0.39999999999999997,0.3333333333333333,0,0,0.3333333333333333,0,QA,1
?,?,0,1,1,0,0,0,0,0,1,0,SUM,0
?,?,0,0.423963,0,0,0,0,0.6428571428571428,0.5,0,0,SUM,1
?,?,0,0.494048,0.2857142857142857,0,0,0,0.25,0,0.2857142857142857,0.2857142857142857,SUM,1
?,?,1,0.225806,0.5,0,0.2222222222222222,0,1,1,0.5,1,SUM,1
?,?,0.5,0.766423,0.3333333333333333,0,0,0,0,0,0,0,SUM,1
?,?,0,1,0.4,0,1,1,0.3,0,0.4,0.4,SUM,0
?,?,0.571429,0.36747,0.14285714285714285,0,0.17692307692307693,0,0,0,0,0,SUM,0
?,?,0,?,0,0,0,0,0.6363636363636364,0.5,0,0.3333333333333333,SUM,0
?,?,0,0.446352,0.3333333333333333,0,0.11764705882352941,0,0,0,0.3333333333333333,0,SUM,1
?,?,0.8,0.302251,0,0,0.3611111111111111,0,0.2619047619047619,0,0.5,0.5,SUM,1
?,?,1,?,1,1,0.8421052631578947,0,0.17391304347826086,0,1,0.2222222222222222,SUM,1
?,?,0.285714,0.254808,0.2857142857142857,0,0.5,0,0.14814814814814814,0,0.2857142857142857,0.2857142857142857,SUM,1
?,?,0.5,1,0.4,0,0.5714285714285714,0.5,0.5326023391812865,0,0.5,0.25,SUM,0
?,?,0.8,0.469136,0.3333333333333333,0,0.47058823529411764,0,0,0,0.3333333333333333,0,SUM,1
?,?,0.8,0.703196,0.4,0,1,1,0,0,0.4,0,SUM,0
?,?,0.333333,0.269231,1,1,0,0,0,0,0,0,SUM,1
?,?,0.666667,1,0.4,0,0,0,0,0,0,0,SUM,1
?,?,1,0.22449,0.4,0,0,0,0,0,0,0,SUM,1
?,?,0.333333,0.468966,0.4,0,0,0,0,0,0,0,SUM,0
?,?,0.666667,1,1,1,0.38095238095238093,0,0.6333333333333333,0.5,0.35294117647058826,0.35294117647058826,SUM,0
?,?,1,0.480349,1,1,1,1,1,1,1,1,SUM,0
?,?,0.666667,1,0.2857142857142857,0,0.3650793650793651,0.2,0.6176470588235294,0.5,0.2857142857142857,0.2857142857142857,SUM,0
?,?,0.75,0.78,1,1,1,1,1,1,1,1,SUM,0
?,?,0.333333,1,0.3333333333333333,0,0,0,0,0,0,0,SUM,1
?,?,1,1,0.4,0,0.22712418300653592,0,0,0,0.5,0,SUM,1
